id,original_text,lang,retweet_count,original_author,sentiment_class
1.24502457848689e+18,Happy #MothersDay to all you amazing mothers out there! I know it's hard not being able to see your mothers today but it's on all of us to do what we can to protect the most vulnerable members of our society. #BeatCoronaVirus pic.twitter.com/va4nFjFQ5B,en,0,BeenXXPired,0.0
1.24575874656913e+18,Happy Mothers Day Mum - I'm sorry I can't be there to bring you Mothers day flowers & a cwtch - honestly at this point I'd walk on hot coals to be able to. But I'll be there with bells on as soon as I can be. Love you lots xxx (p.s we need more photos!) https:// photos.app.goo.gl/M3vXBLrsCzD4TE bY7 …,en,1,FestiveFeeling,0.0
1.24608735665184e+18,"Happy mothers day To all This doing a mothers days work. Today been quiet but Had time to reflect. Dog walk, finish a jigsaw do the garden, learn few more guitar chords, drunk some strawberry gin and tonic and watch Lee evens on DVD. My favourite place to visit. #isolate pic.twitter.com/GZ0xVvF6f9",en,0,KrisAllenSak,-1.0
1.24480262804494e+18,Happy mothers day to this beautiful woman...royalty soothes you mummy jeremy and emerald and more #PrayForRoksie #UltimateLoveNG pic.twitter.com/oeetI22Pvv,en,0,Queenuchee,0.0
1.24487627472153e+18,"Remembering the 3 most amazing ladies who made me who I am! My late grandmother iris, mum carol and great grandmother Ethel. Missed but never forgotten! Happy mothers day to all those great mums out there! Love sent to all xxxx pic.twitter.com/xZZZdEybjE",en,0,brittan17446794,-1.0
1.24452421559782e+18,HAPPY MOTHER’S DAY! BRATZ WORLD FAMILIEZ YASMIN & HER MUM! (PORTIA) #bratz #bratzworldfamiliez #bratz2008 #bratzkidz #bratzyasmin #bratzportia #theonlygirlswithapassionforfashion #bratzdolls #bratzcollector #happymothersday #mothersday #mothersday2020 #azdoesmakeup pic.twitter.com/5m1T81zhpU,en,0,chotia_mudit,0.0
1.24420213656673e+18,Happy Mother’s Day to all you wonderful mums out there! #mothersday #cupcakes #supermums #traceyscakecraft #couturesugarpaste #saracinouk #hinckley @Tracey's CakeCraft https://www. instagram.com/p/B-CUzHjg-Au/ ?igshid=lf3elmlv7q7g …,en,0,essentialartss,1.0
1.24434066094314e+18,Show me a mother of two as sexy as Rosie Happy Mothers Day beautiful Rosie @officiallrosie I love you #HappyMothersDayRosie #HappyMothersDay2020 #WhyILoveRoksie #Roksie pic.twitter.com/6oMZGHcIVe,en,0,gmassaro7,1.0
1.24404943535891e+18,"To all the mothers, grandmothers, aunts, sisters and women in our lives who care for and love us unconditionally, Happy Mothers’ Day ! #MothersDay pic.twitter.com/ejatt1aH4z",en,0,LToddWood,1.0
1.24578029454592e+18,"To all the mothers around the World, Gas To Health Initiative wishes them a Happy Mother's Day! - #gthi #mothersday2020 #MotheringSunday #MothersDay #lpg #motherhood #motherslove #gastohealth #argus #lpgn #nigeria #cookinggas #Cooking #MothersDayShoutOut #mothers #mama pic.twitter.com/csq1jOiC1z",en,0,LiveGoodProduct,0.0
1.24652620336171e+18,Happy Mothers Day To all the Mothers around the word. #mothersday #mother #mom https://www. instagram.com/p/B-EjXQaFtja/ ?igshid=dcgderf6tgj2 …,en,0,Dodgers_jedicid,0.0
1.24654041131061e+18,"HAPPY MOTHERS DAY , CHRISTINE | DAILY LIFE For the full video click the link below. If you enjoy this video, please share it and click Subscribe on YouTube for more like it. Then click the Bell icon to get notifications of new videos. https:// buff.ly/2QAIlzV pic.twitter.com/Askk1nKFvu",en,3,Mekialaya,1.0
1.2461190378616e+18,Happy Mother's Day! Check out my latest blog at http:// sallycleggart.co.uk/index.php/sall ys-blog/ … http:// sallycleggart.co.uk #art #newart #artist #newartist #blog #newblog #mothersday2020 #mothersday #coronavirus #COVIDー19 #Isolation pic.twitter.com/bqsWJkzPoa,en,1,lindab142,1.0
1.24436900806704e+18,"Happy Mothers Day to everyone tuning in. This is the 4th Round game between me and @CastigersJ Live coverage on @Twitter , maybe one day @SkySportsRL or on the OurLeague app",en,0,RudieObias,-1.0
1.24507415489157e+18,Happy mother's day! I got a playdoh worm cake from my beloved 3yo o.O at least he warned me to only pretend eat it lol #MothersDay #MomsOfBoys #preschooler,en,1,PKellenbarger18,0.0
1.24603765814227e+18,Happy Mothers Day to all you amazing Mums out there! Keep being awesome! It's probably not been your normal mothers day but a mothers love is one that can overcome even the toughest of challenges. Hope you've all… https://www. instagram.com/p/B-C-0nZlrVe/ ?igshid=1e6tgbc5wrbx3 …,en,0,D_Cassandra_D,0.0
1.24398696894328e+18,A poem I’ve written for my wife on Mother’s Day. Happy Mother’s Day xxxxxxx #family #motherhood #mumlife #motherday #mum #mother #happymothersday #treatyourmum #mothersdayflowers #sundaylunch #mothersday pic.twitter.com/QFPelF7OLb,en,0,andreaanderegg,0.0
1.24433411138228e+18,Happy Mothers Day ! We hope your mums aren't planning to do any work around the house today! Surely it can wait until next week? #plumbers #heatingspecialists #mothersday #mothersday pic.twitter.com/PnunD1pPl4,en,0,RaffaellaPino,-1.0
1.24465585321252e+18,Wishing all our Mamas a relaxing Mothers Day in these challenging times ​ ​ Happy Mother's day. ​ ​ #sweatymama #postnatalfitness #postnatalbody #sweatymamaclass pic.twitter.com/d9CImgzxcl,en,0,review_prime,1.0
1.24459021062679e+18,Happy mothersday to all those celebrating today. This is my most favourite woman in the whole entire world and I love her to pieces Big hugs to those whom today might be hard for xxx https://www. instagram.com/p/B-CY08zA0kB/ ?igshid=wok5zcr2y5am …,-0.0138325017,en,11,0.0
1.24433176550386e+18,The hands that always lift's me when i fall. The person that always supports me for every second of my life. My Queen my everything my mother. HAPPY MOTHERS DAY,en,0,TheKangarooCrew,1.0
1.24448404431172e+18,"Happy mothers day to my strong, adorable and hilarious muma, antons muma in heaven, antons sisters, my amazing friends with beautiful babies, my aunties, my godmother, my nonna, my stepmum and my grannys. Love you all unconditionally forever pic.twitter.com/k4twjBPbYj",en,0,grouptherapy33,1.0
1.24504439474458e+18,Happy Mother's Day Lisa @chopdrog58 Fantastic Work from Team @chopdrog58 looking after the staff in the Newgrange ward in the Lourdes hospital #LouthChat #feedthehores #MothersDay pic.twitter.com/VN33uAwanx,en,0,momstsmodel,1.0
1.24588017218565e+18,"Happy mothers day to this beautiful, hard working ,brilliant ,perfect support system ,my padi and fantastic wife and friend ......Thank you for all you do for me and the kids...God bless you ......and I love you . https://www. instagram.com/p/B-C37IwJcNr/ ?igshid=zpfxw5j8zmt7 …",en,0,leticiakane4,1.0
1.24437833135891e+18,"Today we celebrate a love so pure, inexhaustible and unconditional. We thank our mothers for all they’ve done in making us who we are and who we’ll become. Happy Mother’s Day!! #MothersDay #HappyMothersDay #Norrenberger pic.twitter.com/JQmvYuSuCP",en,0,LToddWood,0.0
1.24537728319336e+18,Happy birthday little cute cupcake (bear grey payne) wish to see your beautiful face one day love u & your amazing dad @LiamPayne sooo much also happy mothers day to his gorgeous mom @CherylOfficial be safe . xxxxx https:// twitter.com/LiamPayne/stat us/1241729938136457219 … pic.twitter.com/is3fjT9MMr,en,0,BrianDaltonCRE,0.0
1.24449064503053e+18,Happy Mother’s Day to my incredible mother. Happy Mother’s Day to al the mothers around the world. It’s out now! Link to my YT video: https:// youtu.be/c93qGqyh0Hw #mothersday2020 #MothersDay #YouTube #spokenword,en,0,HaremDesign,1.0
1.24614298881802e+18,"Happy Mother’s Day to every woman that has trained, encouraged, corrected, cared for or provided for any child Indeed, you are the one that should be celebrated on mothers day , not just woman that has given birth to… https://www. instagram.com/p/B-DG2llnnM7/ ?igshid=1f23z5mgdcikt …",en,0,LiveGoodProduct,0.0
1.24578433201652e+18,"You could have just stopped at “ Happy Mothers Day ” and left it at that. Unless you were seeking attention, which of course I am sure you wouldn’t have done unnecessarily, right?",en,0,RoadsportHonda,0.0
1.24419481182291e+18,Happy mothers day to all those mums whos children can't be with them today. My son Dylan lives in heaven I wish I could see him for one more hug. I wish I could tell him how much I love and miss him. Huge happy mothers day to your mum too.,en,0,Zennia_Art,-1.0
1.24482255097638e+18,"Exactly what my late mum aka hype mama would do in this circumstance. Sure you all can relate. Happy Mothers day to all women. You truly rock. Ladies, I salute you all. Thanks for being here. #@summit_gate … https://www. instagram.com/p/B-Ca236lS4l/ ?igshid=1l5melyquco6z …",-0.9677309496,en,0,0.0
1.24592429761866e+18,Happy Mothers Day ! 's To all those special Mum's who may not have seen their loved one's today. We Love you. Stay Safe. pic.twitter.com/OAm32PTpzO,en,2,FSonnenberg,-1.0
1.24492430356657e+18,A tweet for my wonderful wife and mother of our 4 daughters.. She sadly lost her mum last year so suffering a little today.. ..I hate to see her sad.. Here's a loving happy Mothers Day for her mum Shirley and all you're much loved mum's not with us today...,en,0,sarah_berryman1,0.0
1.24471174471227e+18,"Happy mothers day to all the mothers at this very strange time, especially 51.walsh, catherinemwalsh20 and bailesae you guys set the standard!! @Old Stratford https://www. instagram.com/p/B-Cb1r4D1_Kc wn9a_vQzxtCkRXEd9Eu4X6bZ2o0/?igshid=1wzimo2v391rp …",en,0,andreaanderegg,1.0
